timestamp,machine_id,motor_type,location,rpm,voltage_v,current_a,power_kw,torque_nm,temperature_c,vibration_mm_s,noise_db,efficiency_pct,anomaly_type,severity
2026-01-05 06:00:00,MTR-01,Induction,Assembly Line A,1445.9,403.4,11.32,6.8,75.7,64.5,1.67,75.2,91.1,None,None
2026-01-05 06:00:00,MTR-02,Induction,Assembly Line A,1496.7,401.2,11.0,6.57,84.0,71.8,2.47,74.9,90.5,None,None
2026-01-05 06:00:00,MTR-03,Servo,Robotics Cell,1892.0,402.8,7.56,4.54,70.2,64.5,1.28,76.4,90.9,None,None
2026-01-05 06:00:00,MTR-04,Servo,Robotics Cell,1738.7,400.0,8.46,5.04,69.6,66.7,1.88,73.5,91.0,None,None
2026-01-05 06:00:00,MTR-05,Synchronous,Utility Room,1212.3,395.1,13.63,8.02,77.9,73.6,2.8,76.8,91.3,None,None
2026-01-05 06:00:00,MTR-06,Induction,Packaging Line,1546.0,407.4,12.42,7.54,77.4,71.4,3.06,75.8,90.4,None,None
2026-01-05 08:24:00,MTR-01,Induction,Assembly Line A,1499.6,403.5,10.84,6.51,73.4,70.1,2.12,73.5,91.6,None,None
2026-01-05 08:24:00,MTR-02,Induction,Assembly Line A,1449.2,396.9,11.47,6.78,78.2,72.0,2.64,77.2,90.5,None,None
2026-01-05 08:24:00,MTR-03,Servo,Robotics Cell,1804.7,406.7,8.26,5.0,70.3,63.0,1.31,70.8,90.7,None,None
2026-01-05 08:24:00,MTR-04,Servo,Robotics Cell,1738.1,396.0,8.88,5.24,69.2,70.8,2.15,75.0,90.2,None,None
2026-01-05 08:24:00,MTR-05,Synchronous,Utility Room,1198.1,409.6,12.83,7.83,79.9,73.9,3.17,76.1,90.8,None,None
2026-01-05 08:24:00,MTR-06,Induction,Packaging Line,1483.5,405.0,11.57,6.98,75.4,72.0,2.34,76.5,90.1,None,None
2026-01-05 10:48:00,MTR-01,Induction,Assembly Line A,1473.6,399.2,10.43,6.2,77.1,70.3,1.96,74.2,91.1,None,None
2026-01-05 10:48:00,MTR-02,Induction,Assembly Line A,1472.6,395.9,10.85,6.4,79.2,73.0,2.67,77.8,91.0,None,None
2026-01-05 10:48:00,MTR-03,Servo,Robotics Cell,1804.3,407.1,7.81,4.73,65.6,63.7,1.33,76.0,93.0,None,None
2026-01-05 10:48:00,MTR-04,Servo,Robotics Cell,1796.6,402.4,8.63,5.17,71.3,68.1,1.89,73.6,91.6,None,None
2026-01-05 10:48:00,MTR-05,Synchronous,Utility Room,1153.5,399.9,13.69,8.16,79.5,73.2,3.37,78.2,90.6,None,None
2026-01-05 10:48:00,MTR-06,Induction,Packaging Line,1539.6,402.0,12.28,7.35,80.5,71.9,2.62,77.8,90.5,None,None
2026-01-05 13:12:00,MTR-01,Induction,Assembly Line A,1486.6,401.9,11.98,7.17,78.6,67.4,1.87,73.5,91.7,None,None
2026-01-05 13:12:00,MTR-02,Induction,Assembly Line A,1514.2,400.8,11.84,7.07,78.7,71.8,2.25,73.3,90.5,None,None
2026-01-05 13:12:00,MTR-03,Servo,Robotics Cell,1855.4,393.5,8.51,4.99,74.9,66.3,1.62,75.2,92.8,None,None
2026-01-05 13:12:00,MTR-04,Servo,Robotics Cell,1795.0,405.9,9.47,5.73,73.0,68.4,2.25,74.6,92.4,None,None
2026-01-05 13:12:00,MTR-05,Synchronous,Utility Room,1158.8,398.8,13.28,7.89,80.5,76.2,3.23,75.6,89.6,None,None
2026-01-05 13:12:00,MTR-06,Induction,Packaging Line,1486.4,396.9,11.7,6.92,81.7,69.5,2.58,78.7,90.1,None,None
2026-01-05 15:36:00,MTR-01,Induction,Assembly Line A,1451.5,396.3,11.16,6.59,76.1,69.5,2.14,73.8,91.5,None,None
2026-01-05 15:36:00,MTR-02,Induction,Assembly Line A,1451.7,395.6,11.1,6.54,77.5,70.5,2.16,73.4,90.4,None,None
2026-01-05 15:36:00,MTR-03,Servo,Robotics Cell,1805.1,395.9,8.74,5.15,70.7,61.7,1.54,74.4,91.2,None,None
2026-01-05 15:36:00,MTR-04,Servo,Robotics Cell,1763.6,407.8,8.31,5.05,67.9,72.5,2.05,72.7,90.7,None,None
2026-01-05 15:36:00,MTR-05,Synchronous,Utility Room,1193.8,402.4,13.1,7.85,83.0,74.5,2.7,80.1,89.9,None,None
2026-01-05 15:36:00,MTR-06,Induction,Packaging Line,1490.5,398.0,13.16,7.8,81.7,70.9,2.66,74.8,90.4,None,None
2026-01-05 18:00:00,MTR-01,Induction,Assembly Line A,1499.4,401.0,11.17,6.67,75.0,68.3,2.07,76.1,90.3,None,None
2026-01-05 18:00:00,MTR-02,Induction,Assembly Line A,1486.8,404.8,10.78,6.5,80.2,70.8,2.76,75.2,90.6,None,None
2026-01-05 18:00:00,MTR-03,Servo,Robotics Cell,1816.6,398.0,8.76,5.19,65.6,64.6,1.96,74.5,91.4,None,None
2026-01-05 18:00:00,MTR-04,Servo,Robotics Cell,1730.9,400.8,9.72,5.8,78.5,68.0,2.03,72.9,91.0,None,None
2026-01-05 18:00:00,MTR-05,Synchronous,Utility Room,1196.8,398.9,13.34,7.93,85.3,74.0,3.36,79.7,90.9,None,None
2026-01-05 18:00:00,MTR-06,Induction,Packaging Line,1538.8,394.1,12.36,7.26,78.5,70.5,2.37,76.8,91.0,None,None
2026-01-05 20:24:00,MTR-01,Induction,Assembly Line A,1457.1,398.8,11.62,6.9,76.2,66.7,2.24,72.0,91.1,None,None
2026-01-05 20:24:00,MTR-02,Induction,Assembly Line A,1520.9,401.9,11.31,6.77,77.4,72.1,2.58,77.8,90.6,None,None
2026-01-05 20:24:00,MTR-03,Servo,Robotics Cell,1768.6,401.7,7.45,4.46,71.6,66.5,1.61,73.8,90.9,None,None
2026-01-05 20:24:00,MTR-04,Servo,Robotics Cell,1752.6,397.2,9.08,5.37,69.6,69.5,2.0,76.2,90.6,None,None
2026-01-05 20:24:00,MTR-05,Synchronous,Utility Room,1230.2,401.9,12.9,7.72,83.2,73.6,3.23,77.1,90.9,None,None
2026-01-05 20:24:00,MTR-06,Induction,Packaging Line,1534.5,406.6,11.35,6.87,74.9,75.0,3.17,75.7,89.7,None,None
